"","Sampling Date","Sampling Location","Total fluorescence","PARAFAC C1","PARAFAC C2","PARAFAC C3","PARAFAC C4","PARAFAC C5","FI","HIX","Slope ratio","Drip water d13C_DIC","Drip water d18O","Normalized drip rate","Drip water Ca concentration (ppm)","Drip water Sr concentration (ppm)","Drip water Y concentration (ppm)","Drip water Cu concentration (ppm)"
"34",2020-11-13,"PLA",32.40376567,0.045238804,0.027715282,0.041025219,0.062935704,0.017416633,1.88248555,0.565789387,-0.133105737,-14.58772225,-5.94187847,0.391891891891892,54.72405853,0.059836617,0.000114006,0.000127559
"35",2020-11-13,"GLO",24.80913781,0.023206201,0.051055567,0.07571711,0.021682287,0.011888806,1.616258035,0.25181589,1.055530603,-15.45031437,-6.065668719,0.555555555555556,51.37648591,0.050519318,3.58e-05,0.00032438
"36",2020-11-13,"GRA",7.753516547,0.011444839,0.001711506,0.00437487,0.017738493,0.00643768,1.526638499,0.879305559,0.875886303,-16.23029193,-5.658594257,0.854838709677419,54.20003487,0.048265186,1.27e-05,0.000140316
"37",2020-11-13,"FOR",46.48683583,0.090893724,0.005117999,0.021498969,0.02138663,0.036672874,1.644964615,0.856490951,0.816236432,-16.55817425,-5.511349014,0.525423728813559,75.38279863,0.069395221,9.52e-05,0.000122091
"38",2020-11-13,"SKY",21.02669183,0.024433603,0.025818389,0.05461945,0.012156854,0.011356216,1.741180973,0.399971303,0.746030782,NA,-6.046383501,0.962508020900174,60.09283098,0.062857666,0.000110215,0.001480561
"39",2020-12-11,"GLO",22.56999739,0.029988592,0.028235714,0.049792028,0.014743407,0.011773982,1.655374819,0.344917678,0.160199037,-14.92430747,-5.970711627,0.611111111111111,50.69578618,0.04945759,9.84e-06,7.54e-05
"40",2020-12-11,"GRA",22.91091718,0.021301329,0.0229225,0.027326372,0.061259501,0.012766497,1.596781844,0.495374786,-0.480124018,-14.95229242,-5.679639084,0.32258064516129,53.20147871,0.049032481,9.17e-07,7.81e-05
"41",2020-12-11,"PLA",21.08643572,0.041583381,0.005017745,0.018801328,0.007768892,0.013382261,1.722372809,0.691794457,NA,-13.351545,-6.319927361,0.716216216216216,58.96955035,0.063483779,6.4e-05,0.000102163
"42",2020-12-11,"SKY",15.92600224,0.029960724,0.001859583,0.012444281,0.004231038,0.011257295,1.690733292,0.76516792,NA,NA,-6.037841079,0.962508020900174,54.49282515,0.05964694,7.71e-06,0.000102779
"43",2020-12-11,"FOR",74.28299824,0.114200329,0.052942693,0.086279611,0.019434849,0.054932839,1.653692708,0.561477459,0.898170734,-15.95575708,-5.216451339,0.830508474576271,52.54513434,0.061869392,1.16e-06,0.00011203
